Direccion
Diagonal 22 A  # 52 - - 76
Diagonal 23   # 44  - 80
Diagonal 23 C  # 50  - 106
Diagonal 24   # 45  - 84
Diagonal 29   # 57   
Diagonal 29 A  # 60 E - 33
Diagonal 29 B  # 55  - 126
Diagonal 29 N  # 58A  - 3
Diagonal 29 C  # 58A  - 11
Diagonal 29 C  # 54  - 263
Diagonal 30   # 50   
Carrera 47 #  # 31  - 58
Carrera 17   # 43   
Carrera 65 #     - 125
Carrera 1   # 13   
Carrera 1   # 13  - 52
Carrera 103 A  # 39  - 23
Carrera 14   # 5 A - 85
Carrera 15   # 26   
Carrera 15   # 25   
Carrera 17   # 62  - 93
Carrera 17 A  # 24  - 80
Carrera 18   # 32   
Carrera 18   # 52   
Carrera 18 B  # 26   
Carrera 2   # 6  - 33
Carrera 2       
Carrera 2   # 8  - 20
Carrera 20   # 24  156 
Carrera 20   # 34  - 2
Carrera 20   # 36  - 28
Transversal 90   # 6   
Transversal 27   # 19  - 23
Transversal 33   # 29  - 44
Transversal 40   # 22  - 44
Transversal 41   # 21  - 31
Transversal 42   # 21 A  
Transversal 47   # 21 A - 30
Transversal 48 A  # 29 D - 40
Transversal 49   # 29 E - 54
Transversal 51 B  # 21 C   
Transversal 53   # 21 F  - 44
Transversal 54   # 21  8 
Transversal 54   # 30  - 111
Transversal 54   # 40  - 161
Transversal 55   # 25  - 18
Transversal 58   # 15  - 129
Transversal 70 B  # 31 E - 50
Transversal 72 N  # 31 C - 18
Transversal 52   # 16  - 190
Transversal 17   # 29 B - 99
AVENIDA CARRERA 39   # 12  - 24
AVENIDA CARRERA 50   # 35  - 90
AVENIDA CARRERA 43   # 30  - 21
AVENIDA CARRERA 104 B  # 50 A - 32
AVENIDA CARRERA 11 A SUR # 44  - 23
AVENIDA CARRERA 33   # 78  - 131
AVENIDA CARRERA 37   # 52  - 92
AVENIDA CARRERA 45   # 84  - 33
AVENIDA CARRERA 6 A  # 29  - 20
CALLE 1   # 76 A - 100
CALLE 100 G  # 82 F  40
CALLE 101   # 48 A - 44
CALLE 103 E  # 65  - 129
CALLE 104   # 65  - 13
CALLE 104   # 42 B - 34
CALLE 104 A  # 76  - 59
CALLE 104 C  # 78 A - 23
CALLE 104 F  # 74  - 52
CALLE 105   # 64 D - 16
CALLE 106   # 78 C - 41
CALLE 106   # 71 A  24
CALLE 106 B  # 68 A  87
CALLE 107   # 48 A - 42
CALLE 109 A  # 63 A  29
CALLE 110   # 68 A - 85
AVENIDA CALLE 11 A  # 31 A - 89
AVENIDA CALLE 43 A  # 28  - 2
AUT SUR     # 29  - 97
AUT SUR CL 6   # 50  - 21
AUT SUR CL 6   # 50  - 21
AUT SUR CL 6   # 50  - 21
AUT SUR CR 42   # 75  - 83
AUT SUR CR 42   # 75  - 83
AUT SUR CR 42   # 29  - 97
